property_type,society,sector,price,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,built_up_area,study room,servant room,store room,pooja room,others,age_category,furnishing_type,luxury_score,combined_rating
flat,ansal sushant lok ci,sector 43,2.0,15152.0,Carpet area: 1320 (122.63 sq.m.),3,3,2,1.0,North,1467.0,0,1,0,0,0,Old Property,Semi-Furnished,6,4.25
flat,ashiana mulberry,sohna road,0.74,6198.0,Carpet area: 1210 (112.41 sq.m.),2,2,3+,12.0,North-West,1344.0,0,0,0,0,0,New Property,Unfurnished,45,4.25
flat,godrej meridien,sector 106,3.2,16000.0,Carpet area: 2002 (185.99 sq.m.),3,3,3+,6.0,North-East,2224.0,0,1,0,0,0,New Property,Unfurnished,23,4.3
flat,mapsko casa bella,sector 82,1.3,6379.0,Super Built up area 1960(182.09 sq.m.),4,4,3+,1.0,North,1774.0,0,1,0,0,0,Relatively New,Unfurnished,86,4.1
flat,pooja apartment,sector 3 phase 3 extension,0.25,3571.0,Carpet area: 700 (65.03 sq.m.),2,2,2,2.0,East,778.0,0,0,0,0,0,Relatively New,Unfurnished,0,3.75
flat,signature global park,sohna road,0.95,7845.0,Built Up area: 1210.73 (112.48 sq.m.)Carpet area: 756.6 sq.ft. (70.29 sq.m.),3,2,3+,1.0,East,1210.73,0,0,0,0,0,Relatively New,Unfurnished,29,4.8
flat,dlf new town heights,sector 90,1.99,7297.0,Carpet area: 2727 (253.35 sq.m.),4,4,3+,9.0,East,3030.0,0,1,0,1,0,Relatively New,Furnished,63,4.4
flat,paras dews,sector 106,1.05,7581.0,Carpet area: 1385 (128.67 sq.m.),2,2,2,5.0,West,1539.0,0,0,0,0,0,New Property,Unfurnished,66,4.3
flat,godrej air,sector 85,1.83,10005.0,Carpet area: 1829 (169.92 sq.m.),3,3,3+,18.0,East,2032.0,0,0,0,0,0,Relatively New,Unfurnished,66,4.88
flat,dlf the primus,sector 82,2.25,10714.0,Carpet area: 2100 (195.1 sq.m.),3,3,3+,29.0,East,2333.0,0,1,0,0,0,Relatively New,Semi-Furnished,46,4.6
flat,emaar mgf emerald floors premier,sector 65,2.8,16970.0,Carpet area: 1650 (153.29 sq.m.),3,3,3+,3.0,South-West,1833.0,1,1,0,0,0,Relatively New,Furnished,37,4.5
flat,dlf regency park,sector 28,1.6,14545.0,Carpet area: 1100 (102.19 sq.m.),2,2,2,3.0,North,1222.0,0,0,0,0,0,Relatively New,Unfurnished,45,4.4
flat,supertech araville,sector 79,0.83,5425.0,Carpet area: 1530 (142.14 sq.m.),2,2,3,5.0,North-East,1700.0,1,0,0,0,0,New Property,Semi-Furnished,23,3.75
flat,signature global park,sohna road,0.83,7411.0,Carpet area: 1120 (104.05 sq.m.),3,2,2,1.0,East,1244.0,0,0,0,0,0,New Property,Unfurnished,19,4.8
flat,maxworth city residences,sector 10,0.8,6400.0,Carpet area: 1250 (116.13 sq.m.),2,3,2,9.0,East,1389.0,0,0,0,0,0,New Property,Unfurnished,33,4.75
flat,deepak minda,manesar,1.25,4715.0,Carpet area: 2651 (246.29 sq.m.),4,4,3+,6.0,North-West,2946.0,0,0,0,0,0,Moderately Old,Furnished,22,4.2
flat,pivotal devaan,sector 84,0.3,6667.0,Carpet area: 450 (41.81 sq.m.),1,1,1,14.0,East,500.0,0,0,0,0,0,New Property,Furnished,6,4.0
flat,unitech the residences,sector 33,1.55,9873.0,Super Built up area 1570(145.86 sq.m.),3,4,1,1.0,South,1421.0,0,1,0,0,0,Relatively New,Unfurnished,16,4.1
flat,chd avenue,sector 71,0.79,6594.0,Super Built up area 1198(111.3 sq.m.),2,2,2,8.0,South-East,1084.0,0,0,0,0,1,Relatively New,Unfurnished,0,3.4
flat,silverglades the melia,sohna road,1.01,6999.0,Super Built up area 1450(134.71 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.),2,2,3,12.0,East,1184.0,1,0,0,0,0,Relatively New,Unfurnished,60,4.25
flat,sare crescent parc royal greens phase 1,sector 92,0.95,5008.0,Super Built up area 1897(176.24 sq.m.),4,5,3+,4.0,East,1717.0,0,1,0,0,0,Moderately Old,Unfurnished,16,4.0
flat,umang winter hills,sector 77,0.99,7857.0,Super Built up area 1260(117.06 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2,2,2,1.0,North,1126.0,0,0,0,0,0,Relatively New,Unfurnished,51,4.6
flat,ramprastha skyz,sector 37,1.1,6377.0,Super Built up area 1725(160.26 sq.m.),3,3,3+,7.0,East,1561.0,0,0,0,0,0,Relatively New,Unfurnished,76,4.0
flat,4s aradhya homes,sector 67,1.9,8862.0,Super Built up area 2200(204.39 sq.m.),4,4,3,3.0,East,1991.0,0,0,0,0,0,New Property,Furnished,35,4.5
flat,ild greens,sector 37,1.0,4320.0,Super Built up area 1875(174.19 sq.m.),3,3,3+,5.0,North,1697.0,0,0,0,0,0,Under Construction,Unfurnished,35,4.7
