property_type,sector,price,bedRoom,bathroom,balcony,facing,built_up_area,servant room,age_category,furnishing_type,combined_rating,luxury_category,floor_category
flat,sector 33,1.65,2,2,3,East,1279.0,0,Under Construction,Unfurnished,4.1,Low,Low Floor
flat,sector 65,1.99,2,2,2,East,1140.0,0,Relatively New,Unfurnished,4.25,Low,High Floor
flat,sector 68,1.0,2,2,3,North-East,889.0,0,Relatively New,Unfurnished,4.0,Low,High Floor
flat,sector 62,4.25,3,3,3,North,1778.0,0,Relatively New,Unfurnished,4.25,Low,Mid Floor
flat,sector 78,1.25,4,4,3,East,2300.0,1,Relatively New,Unfurnished,4.25,Low,Low Floor
flat,sector 83,0.95,3,3,3,North,1489.0,0,Moderately Old,Unfurnished,4.8,Low,Low Floor
flat,sector 4,1.05,3,2,2,East,1500.0,0,New Property,Furnished,5.0,Low,Low Floor
flat,sector 72,4.1,4,5,3+,North-East,2629.0,1,New Property,Unfurnished,4.4,Medium,High Floor
flat,sector 90,0.5,2,2,2,North-East,796.0,0,Relatively New,Unfurnished,4.0,Low,Low Floor
flat,manesar,1.65,4,3,3,East,3111.0,1,New Property,Unfurnished,4.5,Low,Mid Floor
flat,sector 70,1.6,3,3,3,North-East,1750.0,1,New Property,Unfurnished,4.25,Low,Low Floor
flat,sector 61,2.1,3,2,3,South,1534.0,0,Relatively New,Unfurnished,4.2,Medium,Mid Floor
flat,manesar,0.9,4,4,3,East,2233.0,0,Moderately Old,Unfurnished,4.5,Low,Mid Floor
flat,sector 79,1.1,2,2,3+,North-East,1223.0,0,New Property,Furnished,4.4,Low,Mid Floor
flat,sector 99,0.92,2,2,3+,North-East,1235.0,0,Relatively New,Unfurnished,4.38,Low,High Floor
flat,sector 92,0.7,3,3,2,East,140.0,0,Under Construction,Unfurnished,3.6,Low,High Floor
flat,sector 70,0.99,3,4,2,North-East,1416.0,0,Relatively New,Unfurnished,3.62,Low,High Floor
